Name,Developer,Publisher,Nominations,Meta-Score,Reviews,User-Score,Votes,Genre,Release-Date,Year of the Event,Popularity,Most-Anticipated,Wins
Dragon Age: Inquisition,Bioware,Electronic Arts,2,85,45,61,5.499,RPG,2014-11-18,2014,14,0,1
Dark Souls II,FROM Software,Bandai Namco,3,91,69,77,2.553,RPG,2014-03-11,2014,27,0,0
Hearthstone: Heroes of Warcraft,Blizzard,Blizzard,3,88,42,57,2.686,Strategy,2014-03-11,2014,30,0,0
Bayonetta 2,Platinum Games,Nintendo,2,91,80,90,1.534,Action-Adventure,2014-10-24,2014,1,0,0
Middle-earth: Shadow of Mordor,Monolith,Warner Bros,2,84,85,79,3.160,Action-Adventure,2014-09-30,2014,1,0,0
Bloodborne,FROM Software,PlayStation,3,92,100,89,13.971,RPG,2015-03-24,2015,3,1,0
Fallout 4,Bethesda Game Studios,Bethesda Softworks,3,87,58,70,7.539,RPG,2015-11-10,2015,11,0,0
The Witcher 3: Wild Hunt,CD Projekt Red,Warner Bros,6,92,79,91,18.279,RPG,2015-05-19,2015,7,1,1
Metal Gear Solid 5: The Phantom Pain ,Kojima Productions,Konami,4,93,86,81,6.965,Action-Adventure,2015-09-01,2015,3,0,0
Super Mario Maker,Nintendo,Nintendo,3,88,85,86,1.028,Action,2015-09-11,2015,1,0,0
DOOM,ID Software,Bethesda Softworks,4,85,61,84,2.779,Action-Adventure,2016-05-13,2016,6,0,0
Uncharted 4: A Thief’s End ,Naughty Dog,PlayStation,8,93,113,87,16.928,Action-Adventure,2016-05-10,2016,5,1,0
Overwatch,Blizzard,Blizzard,6,91,64,66,7.538,Action,2016-05-23,2016,31,0,1
Inside ,Playdead,Playdead,5,93,87,83,1.759,Action-Adventure,2016-06-29,2016,1,0,0
Titanfall 2,Respawn,Electronic Arts,3,89,61,85,3.035,Action,2016-10-28,2016,2,0,0
Horizon: Zero Dawn,Guerrilla Games,PlayStation,5,89,115,83,13.368,Action-Adventure,2017-02-28,2017,10,1,0
The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo,6,97,109,89,25.410,Action-Adventure,2017-03-03,2017,24,1,1
Persona 5,Atlus,Sega,4,93,98,89,5.811,RPG,2017-04-04,2017,10,0,0
PlayerUnknown’s Battlegrounds ,PUBG Corp,PUBG Corp,2,86,46,49,2.307,Action,2017-03-23,2017,19,0,0
Super Mario Oddysey,Nintendo,Nintendo,6,97,114,89,10.761,Action-Adventure,2017-10-27,2017,5,0,0
God of War,Santa Monica,PlayStation,8,94,118,91,29.061,Action-Adventure,2018-04-20,2018,5,1,1
Celeste,Matt Makes Games,Matt Makes Games,4,92,36,87,2.390,Action-Adventure,2018-01-25,2018,1,0,0
Marvel's Spider-Man,Insomniac Games,PlayStation,7,87,116,87,11.129,Action-Adventure,2018-09-07,2018,3,1,0
Red Dead Redemption 2 ,Rockstar Games,Rockstar Games,8,97,99,89,32.418,Action-Adventure,2018-10-26,2018,13,1,0
Monster Hunter World,Capcom,Capcom,2,90,93,78,2.564,RPG,2018-01-26,2018,14,1,0
